,Unnamed: 0,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round,Type
48891,49357,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,103,369,2022,6,1
103118,105493,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,95,434,2021,6,1
155913,160288,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,25,298,2020,6,1
205677,211440,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,71,296,2019,6,1
256198,262369,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,43,265,2018,6,1
